Term	POS1	POS2	POS3	POS4		Anger	Disgust	Fear	Happiness	Sadness	Surprise	Polarity1	Polarity2	Polarity3	Polarity4	Polarity_Avg	Emotion_Affected_Polarity	Normalized_Polarity
αβάφτιστος	ADJ	ADJ	ADJ	ADJ		4.0	4.5	1.0	1.0	2.5	4.5	0	0	0	0	0.0	-0.78	-1.4
Χριστός	NOUN	NOUN	NOUN	N/A		4.5	3.75	4.25	4.0	4.0	4.5	-0.5	-0.5	-0.5	-1	-0.62	-1.25	-2.4
α 	INTJ	INTJ	INTJ	INTJ		3.75	4.0	4.0	4.0	3.75	4.75	0	0	0	0	0.0	-0.51	-0.82
αβάπτιστος	ADJ	ADJ	ADJ	ADJ		4.0	4.5	1.0	1.0	2.5	4.5	0	0	0	0	0.0	-0.78	-1.4
αβεβαιότητα	NOUN	NOUN	NOUN	NOUN		1.0	1.0	2.5	1.0	1.5	1.0	0	-1	0	-1	-0.5	-0.85	-1.55
αγάμητος	ADJ	ADJ	ADJ	ADJ		3.5	3.5	1.0	1.0	1.0	1.75	-1	-1	-1	-1	-1.0	-1.61	-3.17
αγανάκτηση	NOUN	NOUN	NOUN	NOUN		5.0	3.5	1.25	1.0	1.5	1.5	-1	-1	-1	-1	-1.0	-1.85	-3.68
αγανακτώ	VERB	VERB	VERB	VERB		5.0	3.5	1.25	1.0	1.5	1.5	-1	-1	-1	-1	-1.0	-1.85	-3.68
αγάπη	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	4.75	1.0	2.5	1	1	1	1	1.0	1.68	3.85
αγαπημένος -η -ο	PART	PART	PART	PART		1.0	1.0	1.0	4.75	1.0	2.75	1	1	1	1	1.0	1.69	3.87
αγαπητός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	4.75	1.25	2.75	1	1	1	1	1.0	1.66	3.81
αγαπώ	VERB	VERB	VERB	VERB		1.0	1.0	1.0	4.75	1.0	2.25	1	1	1	1	1.0	1.66	3.81
άγγελος 	NOUN	NOUN	NOUN	NOUN		1.0	1.0	2.33	4.67	1.0	3.33	1	0.5	1	0	0.62	1.19	2.81
αγέλη	NOUN	NOUN	NOUN	NOUN		4.0	3.67	3.67	1.0	2.33	1.67	-1	-1	-1	0	-0.75	-1.83	-3.64
αγευσία	NOUN	NOUN	NOUN	NOUN		1.0	5.0	1.0	1.0	2.0	1.0	0	0	-1	0	-0.25	-0.9	-1.65
αγκουσεύω	VERB	VERB	VERB	VERB		2.0	1.75	3.0	1.0	3.5	1.0	-1	-1	-1	-1	-1.0	-1.77	-3.51
αγνός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	4.25	1.0	2.25	0.5	1	1	1	0.88	1.44	3.34
αγορεύω	VERB	VERB	VERB	VERB		2.33	3.67	1.33	1.0	1.0	1.67	-1	-1	-1	0	-0.75	-1.3	-2.51
αγρίεμα	NOUN	NOUN	NOUN	NOUN		4.75	2.5	4.0	1.0	1.25	1.0	-1	-1	-1	-1	-1.0	-2.0	-4.0
αγριεύω	VERB	VERB	VERB	VERB		4.75	2.5	4.0	1.0	1.25	1.0	-1	-1	-1	-1	-1.0	-2.0	-4.0
αγροτοπατέρας	NOUN	NOUN	NOUN	NOUN		3.0	3.25	1.0	1.0	1.0	1.0	-1	-1	-1	-1	-1.0	-1.57	-3.08
άγχος	NOUN	NOUN	NOUN	NOUN		1.25	1.75	4.75	1.5	1.25	1.0	-1	-1	-1	-1	-1.0	-1.55	-3.04
αγωνία	NOUN	NOUN	NOUN	NOUN		1.0	1.0	4.25	2.5	2.25	1.25	-0.5	-1	-1	-0.5	-0.75	-1.04	-1.95
αγωνιώ	VERB	VERB	VERB	VERB		1.0	1.0	4.25	2.5	2.25	1.25	-0.5	-1	-1	-0.5	-0.75	-1.04	-1.95
αδειάζω 	VERB	VERB	VERB	VERB		2.5	2.25	1.0	1.25	2.0	1.75	-1	-1	-1	-0.5	-0.88	-1.32	-2.55
άδειασμα	NOUN	NOUN	NOUN	NOUN		2.25	2.25	1.0	1.25	2.0	1.25	-1	-1	-1	-0.5	-0.88	-1.32	-2.55
άδειος -α -ο	ADJ	ADJ	ADJ	ADJ		2.0	2.0	1.0	1.0	3.0	1.0	-1	0	0	-1	-0.5	-1.05	-1.97
αδελφάτο	NOUN	NOUN	NOUN	NOUN		2.5	2.75	1.25	1.5	1.0	1.0	-0.5	-1	-1	-1	-0.88	-1.28	-2.46
αδελφή	NOUN	NOUN	NOUN	NOUN		1.5	1.75	1.0	2.5	1.0	1.0	1	0.5	1	-1	0.38	0.4	1.12
αδελφικός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	4.33	1.0	1.0	1	0	1	1	0.75	1.27	2.98
αδελφός	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.0	1.0	1.5	1	1	1	1	1.0	1.27	2.98
αδελφοσύνη	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.0	1.0	1.0	1	1	1	1	1.0	1.25	2.93
αδελφούλης	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.5	1.0	2.5	1	1	1	1	1.0	1.43	3.32
αδερφός	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.0	1.0	1.5	1	1	1	1	1.0	1.27	2.98
αδερφούλης	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.5	1.0	2.5	1	1	1	1	1.0	1.43	3.32
αδιάθετος  -η -ο	ADJ	ADJ	ADJ	ADJ		1.0	2.0	1.0	1.0	4.0	1.0	0	0	0	-1	-0.25	-0.8	-1.44
αδιάλυτος -η -ο	ADJ	ADJ	ADJ	ADJ		1.0	2.0	2.5	1.0	2.0	2.0	-1	0	-1	0	-0.5	-0.95	-1.76
αδιάντροπος -η -ο	ADJ	ADJ	ADJ	ADJ		3.5	4.5	1.0	1.0	1.5	1.5	-1	-1	-1	-1	-1.0	-1.77	-3.51
αδιαφορία	NOUN	NOUN	ADJ	NOUN		3.0	2.25	1.0	1.0	2.25	1.5	-1	-1	-1	-1	-1.0	-1.57	-3.08
άδολος -η -ο	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	3.0	1.0	1.67	1	0	1	1	0.75	1.03	2.46
αέρας	NOUN	NOUN	NOUN	NOUN		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
αεροβατώ	VERB	VERB	VERB	VERB		2.0	1.67	1.0	1.0	1.33	2.67	-1	0	-1	-1	-0.75	-1.02	-1.91
αηδής -ής -ές	NOUN	ADJ	ADJ	ADJ		2.75	5.0	1.25	1.0	1.75	2.25	-1	-1	-1	-1	-1.0	-1.76	-3.49
αηδία	NOUN	NOUN	NOUN	NOUN		2.5	5.0	1.0	1.0	1.5	2.25	-1	-1	-1	-1	-1.0	-1.69	-3.34
αηδιάζω	VERB	VERB	VERB	VERB		2.75	5.0	1.0	1.0	1.5	2.25	-1	-1	-1	-1	-1.0	-1.71	-3.38
άθλος	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.75	1.0	3.75	1	1	1	1	1.0	1.54	3.55
αιδημοσύνη	NOUN	NOUN	NOUN	NOUN		2.5	2.75	2.75	1.0	1.0	2.25	-1	-1	-1	-0.5	-0.88	-1.47	-2.87
αιδώς	NOUN	NOUN	NOUN	NOUN		3.25	3.5	2.5	1.0	1.0	2.5	-1	-1	-1	-0.5	-0.88	-1.58	-3.1
αίμα	NOUN	NOUN	NOUN	NOUN		3.33	3.0	3.33	1.0	1.67	3.0	-1	0	-1	-0.5	-0.62	-1.4	-2.72
αιρεσιάρχης	NOUN	NOUN	NOUN	NOUN		4.0	4.0	2.5	1.0	1.0	1.0	-1	0	-1	0	-0.5	-1.4	-2.72
αισθάνομαι	VERB	VERB	VERB	VERB		3.67	3.67	3.67	3.67	3.67	3.67	0	0	0	0	0.0	-0.55	-0.91
αισθαντικός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	2.5	1.25	2.25	1	1	1	0.5	0.88	1.07	2.55
αισθαντικότητα	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	2.5	1.25	2.25	1	1	1	0.5	0.88	1.07	2.55
αίσθημα	NOUN	NOUN	NOUN	NOUN		3.67	3.67	3.67	3.67	3.67	3.67	0	0	0	0	0.0	-0.55	-0.91
αισθηματίας	ADJ	NOUN	NOUN	NOUN		1.0	2.0	1.0	2.75	1.25	1.5	0.5	1	0.5	0.5	0.62	0.72	1.8
αισθηματικός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	4.0	2.0	1.5	1	0.5	1	0.5	0.75	1.12	2.66
αισθηματικότητα	NOUN	NOUN	NOUN	NOUN		1.0	1.0	1.0	3.5	1.5	2.0	1	0.5	1	0.5	0.75	1.1	2.61
αισθηματισμός	NOUN	NOUN	NOUN	NOUN		1.0	2.0	1.0	2.0	1.5	1.25	-1	-0.5	-1	-0.5	-0.75	-0.84	-1.53
αισθηματολογία	NOUN	NOUN	NOUN	NOUN		1.0	2.0	1.0	2.25	1.75	1.25	-1	-0.5	-1	-0.5	-0.75	-0.81	-1.46
αισθηματολόγος -α -ο	ADJ	ADJ	ADJ	ADJ		1.0	3.0	1.0	1.33	1.0	1.67	-1	0	-1	-0.5	-0.62	-0.87	-1.59
αισθηματολογώ	VERB	VERB	VERB	VERB		1.0	3.0	1.0	1.33	1.0	1.33	-1	0	-1	-0.5	-0.62	-0.89	-1.63
αίσθηση	NOUN	NOUN	NOUN	NOUN		2.0	2.25	2.25	2.25	2.25	3.0	0	0	0	0	0.0	-0.28	-0.33
αισθητήριος -α -ο	ADJ	ADJ	ADJ	ADJ		1.0	2.0	1.5	2.5	1.5	2.5	0	0	0	0	0.0	0.02	0.31
αισθητικός -ή -ό	ADJ	ADJ	ADJ	ADJ		1.0	1.0	1.0	3.67	1.0	2.33	1	0	1	1	0.75	1.2	2.83
αιώνιος	ADJ	ADJ	ADJ	ADJ		1.33	1.67	1.33	3.0	1.33	3.0	0	0	1	-1	0.0	0.18	0.65
ακαδημαϊκός	ADJ	ADJ	NOUN	ADJ		N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0.0	0.0	0.27
ακαλαισθησία	NOUN	NOUN	NOUN	NOUN		1.75	3.0	1.0	1.0	1.5	1.75	-1	-1	-1	-1	-1.0	-1.44	-2.81
ακαλαίσθητος -η -ο	ADJ	ADJ	ADJ	ADJ		1.75	3.0	1.0	1.0	1.5	1.75	-1	-1	-1	-1	-1.0	-1.44	-2.81
