αβάφτιστος	-1.4	0.0	0 0 0 0
Χριστός	-2.4	0	-0.5 -0.5 -0.5 -1
α 	-0.82	0.0	0 0 0 0
αβάπτιστος	-1.4	0.0	0 0 0 0
αβεβαιότητα	-1.55	0.0	0 -1 0 -1
αγάμητος	-3.17	0	-1 -1 -1 -1
αγανάκτηση	-3.68	0	-1 -1 -1 -1
αγανακτώ	-3.68	0	-1 -1 -1 -1
αγάπη	3.85	0.0	1 1 1 1
αγαπημένος -η -ο	3.87	0.0	1 1 1 1
αγαπητός -ή -ό	3.81	0.0	1 1 1 1
αγαπώ	3.81	0.0	1 1 1 1
άγγελος 	2.81	0.5773502691896257	1 0.5 1 0
αγέλη	-3.64	0	-1 -1 -1 0
αγευσία	-1.65	0.0	0 0 -1 0
αγκουσεύω	-3.51	0	-1 -1 -1 -1
αγνός -ή -ό	3.34	0.0	0.5 1 1 1
αγορεύω	-2.51	0	-1 -1 -1 0
αγρίεμα	-4.0	0	-1 -1 -1 -1
αγριεύω	-4.0	0	-1 -1 -1 -1
αγροτοπατέρας	-3.08	0	-1 -1 -1 -1
άγχος	-3.04	0	-1 -1 -1 -1
αγωνία	-1.95	0	-0.5 -1 -1 -0.5
αγωνιώ	-1.95	0	-0.5 -1 -1 -0.5
αδειάζω 	-2.55	0	-1 -1 -1 -0.5
άδειασμα	-2.55	0	-1 -1 -1 -0.5
άδειος -α -ο	-1.97	0.0	-1 0 0 -1
αδελφάτο	-2.46	0	-0.5 -1 -1 -1
αδελφή	1.12	0.0	1 0.5 1 -1
αδελφικός -ή -ό	2.98	0.5	1 0 1 1
αδελφός	2.98	0.0	1 1 1 1
αδελφοσύνη	2.93	0.0	1 1 1 1
αδελφούλης	3.32	0.0	1 1 1 1
αδερφός	2.98	0.0	1 1 1 1
αδερφούλης	3.32	0.0	1 1 1 1
αδιάθετος  -η -ο	-1.44	0.0	0 0 0 -1
αδιάλυτος -η -ο	-1.76	0.0	-1 0 -1 0
αδιάντροπος -η -ο	-3.51	0	-1 -1 -1 -1
αδιαφορία	-3.08	0	-1 -1 -1 -1
άδολος -η -ο	2.46	0.5	1 0 1 1
αέρας	0.27	0.0	0 0 0 0
αεροβατώ	-1.91	0	-1 0 -1 -1
αηδής -ής -ές	-3.49	0	-1 -1 -1 -1
αηδία	-3.34	0	-1 -1 -1 -1
αηδιάζω	-3.38	0	-1 -1 -1 -1
άθλος	3.55	0.0	1 1 1 1
αιδημοσύνη	-2.87	0	-1 -1 -1 -0.5
αιδώς	-3.1	0	-1 -1 -1 -0.5
αίμα	-2.72	0	-1 0 -1 -0.5
αιρεσιάρχης	-2.72	0.0	-1 0 -1 0
αισθάνομαι	-0.91	0.0	0 0 0 0
αισθαντικός -ή -ό	2.55	0.0	1 1 1 0.5
αισθαντικότητα	2.55	0.0	1 1 1 0.5
αίσθημα	-0.91	0.0	0 0 0 0
αισθηματίας	1.8	0	0.5 1 0.5 0.5
αισθηματικός -ή -ό	2.66	0.0	1 0.5 1 0.5
αισθηματικότητα	2.61	0.0	1 0.5 1 0.5
αισθηματισμός	-1.53	0	-1 -0.5 -1 -0.5
αισθηματολογία	-1.46	0	-1 -0.5 -1 -0.5
αισθηματολόγος -α -ο	-1.59	0	-1 0 -1 -0.5
αισθηματολογώ	-1.63	0	-1 0 -1 -0.5
αίσθηση	-0.33	0.0	0 0 0 0
αισθητήριος -α -ο	0.31	0.0	0 0 0 0
αισθητικός -ή -ό	2.83	0.5	1 0 1 1
αιώνιος	0.65	0.5773502691896257	0 0 1 -1
ακαδημαϊκός	0.27	0.0	0 0 0 0
ακαλαισθησία	-2.81	0	-1 -1 -1 -1
ακαλαίσθητος -η -ο	-2.81	0	-1 -1 -1 -1
ακαλλιέργητος -η -ο	-2.98	0	-1 -1 -1 -1
άκαπνος	-1.4	0.0	-1 0 -1 0
άκαπνος	-0.8	0.0	0 0 -1 0
άκαρδος -η -ο	-3.38	0	-1 -1 -1 -1
ακατάσβεστος -η -ο	0.25	0.0	0 0 0 0
ακηδεμόνευτος	-2.25	0.0	-1 0 -1 0
ακόρεστος -η -ο	-1.74	0	-1 -0.5 -1 0
ακούραστος -η -ο	2.66	0.5	1 0 1 1
ακουστικός -ή -ό	2.29	0.5773502691896257	1 0 1 0
ακούω	1.12	0.5	1 0 0 0
ακτινοβόλος -ος / -α -ο	3.68	0.0	1 1 1 1
άλαλος -η -ο	-1.29	0	-1 -0.5 -0.5 -0.5
αλεπού	-1.59	0	-0.5 0 -1 -0.5
αλευρώνω	-1.76	0.0	-1 0 -1 0
αλητάκι	-3.19	0	-1 0 -1 -1
αλητάκος	-3.19	0	-1 0 -1 -1
αλητάμπουρας	-3.68	0	-1 -1 -1 -1
αληταράς	-3.98	0	-1 -1 -1 -1
αληταριό	-3.89	0	-1 -1 -1 -1
αλήτης	-3.57	0	-1 0 -1 -1
αλήτης	-3.57	0	-1 0 -1 -1
αλητοπαρέα	-3.47	0	-1 0 -1 -1
αλητοτουρίστας	-3.45	0	-1 -1 -1 -1
αλιεύω	-1.87	0.0	-1 0 -1 0
αλλά	0.27	0.0	0 0 0 0
