IDnr	Word	Length	LemmaFreq	WordFreq
1	α	1	518	516.7
2	β	1	392	391.3
3	γ	1	460	458.3
4	δ	1	293	291.6
5	ε	1	201	200.5
6	ζ	1	20	19.9
7	η	1	16860	16871.6
8	ή	1	2570	2569.6
9	θ	1	143	142.4
10	ι	1	96	95.3
11	κ	1	2284	2278.3
12	λ	1	47	46.8
13	μ	1	439	440.1
14	ν	1	641	639.7
15	ξ	1	2	2.3
16	ο	1	168561	12447.6
17	π	1	126	125.9
18	ρ	1	31	31
19	σ	1	915	913.9
20	τ	1	149	149.4
21	υ	1	9	8.6
22	φ	1	29	28.6
23	χ	1	69	68.7
24	ψ	1	4	3.6
25	ω	1	11	10.9
26	αμ	2	3	2.9
27	αν	2	2488	2135.6
28	απ	2	718	717
29	αρ	2	20	20.4
30	ας	2	251	250.5
31	αχ	2	10	9.8
32	γα	2	1	1.1
33	γη	2	113	54.5
34	δα	2	9	8.9
35	δε	2	419	419.3
36	δη	2	10	9.7
37	ει	2	4	3.8
38	εκ	2	520	407.3
39	εν	2	494	493.3
40	εξ	2	112	112
41	επ	2	45	45.2
42	ευ	2	9	8.7
43	ζω	2	267	8.3
44	θα	2	8592	8579.3
45	κε	2	5	5
46	λα	2	19	19
47	μα	2	139	139.1
48	με	2	13737	3733.7
49	μι	2	2	1.5
50	να	2	20892	20878.4
51	νι	2	1	1
52	ξι	2	0	0
53	ον	2	14	6.5
54	ου	2	15	15.4
55	οχ	2	4	3.8
56	πα	2	5	5.1
57	πι	2	1	1.2
58	ρε	2	27	26.8
59	ρο	2	1	0.7
60	σε	2	7919	7923.9
61	σι	2	3	3.1
62	στ	2	94	94.2
63	τα	2	10003	10007.6
64	τη	2	7428	7429.6
65	τι	2	1324	1323
66	το	2	22680	22671.4
67	φα	2	1	0.5
68	φι	2	1	0.6
69	χα	2	5	5.2
70	χι	2	1	1.3
71	χμ	2	1	0.9
72	ψι	2	0	0.1
73	ώα	2	0	0
74	ων	2	29	5.2
75	ως	2	1953	1953
76	άγω	3	1	0
77	αεί	3	1	0.7
78	αλά	3	2	1.7
79	αλί	3	6	5.9
80	αλτ	3	0	0.1
81	άμα	3	23	22.4
82	αμέ	3	1	0.6
83	άμε	3	0	0.1
84	ανά	3	125	125.3
85	άνω	3	175	105.7
86	άου	3	0	0.1
87	από	3	13382	12631.8
88	άπω	3	4	3.5
89	αρά	3	1	0.1
90	άρα	3	125	124.5
91	άτι	3	1	0.4
92	αφή	3	3	1.4
93	βατ	3	1	0.7
94	βαχ	3	0	0.1
95	βηξ	3	0	0.1
96	βια	3	0	0.1
97	βία	3	77	34.7
98	βοή	3	1	0.6
99	βοώ	3	1	
100	βρε	3	12	11.9
101	γαρ	3	4	3.5
102	γεν	3	20	19.7
103	για	3	12922	12428.1
104	δεν	3	8830	8403.6
105	διά	3	96	83.3
106	δις	3	323	322.7
107	δον	3	18	17.5
108	δου	3	13	12.6
109	δρω	3	69	0.1
110	δύο	3	1780	1540.1
111	δύω	3	2	0
112	έαρ	3	0	0.2
113	εγώ	3	156899	443
114	εδώ	3	687	638.9
115	εις	3	129	128.2
116	έλα	3	20	20
117	ενώ	3	1190	1190.5
118	έξη	3	154	2.1
119	έξι	3	151	150.7
120	έξω	3	205	203.9
121	επί	3	591	516.1
122	εύα	3	5	4.1
123	εφέ	3	6	6.3
124	έχω	3	8784	293.7
125	έως	3	293	294.5
126	ζην	3	3	2.6
127	ζωή	3	532	318.7
128	ζων	3	5	0.2
129	ζώο	3	61	8.3
130	ήβη	3	2	1
131	ήδη	3	503	502.6
132	ήρα	3	3	1.9
133	ήτα	3	0	0.3
134	ηχώ	3	9	1.4
135	θεά	3	13	4.8
136	θέα	3	12	11.7
137	ίλη	3	0	0
138	ίνα	3	13	2.4
139	ιόν	3	9	0.7
140	ιός	3	32	5.3
141	ίσα	3	24	23.7
142	και	3	35709	34184.6
143	καν	3	90	90.2
144	κεκ	3	3	3.4
145	κιχ	3	1	0.6
146	κοκ	3	6	6.3
147	κυρ	3	9	8.6
148	λαξ	3	1	0.7
149	λέι	3	2	1.7
150	λύω	3	7	
151	ματ	3	9	8.8
152	μεν	3	101	100.6
153	μην	3	1223	637
154	μις	3	2	2
155	μνα	3	0	0
156	μοβ	3	2	2.1
157	μου	3	55173	1369.6
158	μπα	3	6	5.6
159	μυς	3	12	3.9
160	μυώ	3	6	0
161	ναι	3	205	204.5
162	νοώ	3	14	0
163	ντα	3	6	6.4
164	ντε	3	61	61.2
165	ντο	3	2	1.7
166	νυν	3	23	23
167	όζω	3	0	0
168	οκά	3	2	0.9
169	όλο	3	1438	289
170	οξύ	3	17	10.2
171	όπα	3	1	0.9
172	οπή	3	10	3.1
173	όσο	3	885	634.9
174	ότι	3	7551	7540.4
175	ουκ	3	9	9
176	ους	3	3	1.3
177	ουφ	3	1	0.9
178	όχι	3	1057	1055.6
179	όψη	3	53	22.8
180	πας	3	521	21.1
181	πάω	3	741	36.4
182	πια	3	188	187.9
183	πιο	3	943	944.4
184	πόα	3	0	0
185	ποπ	3	10	10.4
186	που	3	14528	14525.4
187	πού	3	173	172.9
188	προ	3	90	90.3
189	πυξ	3	1	0.7
190	πύο	3	0	0.1
191	πυρ	3	34	7.3
192	πως	3	781	780
193	πώς	3	431	431.3
194	ρέω	3	6	0
195	ροζ	3	12	11.7
196	ροή	3	44	25.2
197	ροΐ	3	0	0
198	ροκ	3	21	21.3
199	σαν	3	554	554.9
200	σεξ	3	12	11.8
201	σερ	3	10	9.6
202	σετ	3	12	11.5
203	σεφ	3	8	7.5
204	σία	3	2	2.4
205	σικ	3	1	0.8
206	σκι	3	3	2.8
207	σόι	3	4	3.3
208	σοκ	3	18	18.4
209	σολ	3	2	1.8
210	σος	3	0	0.4
211	συν	3	78	77.8
212	ταυ	3	1	0.6
